,PCTPOV017_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Heart disease_Lower 95% CI,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI
707,0.9975972900322297,-0.6056234836802633,-0.5703583265971065,-0.6584172118994545,0.0682803736282012,0.01650241278915221,-0.11467812627206593,1.0012186459803565,1.152478327893926,0.8226203464962671
708,-1.5061453129216058,-0.8251058278070924,-0.9004900218795425,-0.7680079908745031,-1.057673446201396,-1.4102885214201148,-1.3663852475433376,-1.1377420106058858,-1.1517139329029495,-1.1594008927958315
709,-1.4610328335891043,-2.1263225822732945,-2.1266934615000177,-2.1144089897108107,-1.057673446201396,-1.4488504385609058,-1.3663852475433376,-0.9594952892236988,-1.1517139329029495,-0.9942324561881566
710,-1.4723109534222296,-1.483552860187581,-1.466430070935147,-1.488175966996249,-1.5580973661256612,-1.60309810712407,-1.6167266717975917,-1.4942354533702589,-1.535745976369096,-1.4897377660111815
711,-0.7166769246028288,0.6642386501963926,0.6086834422687355,0.6879837869368531,-0.4946965362865974,-0.060621421492429536,-0.00738894444881382,-0.7812485678415118,-0.7676818894368042,-0.6638955829728073
712,-0.4685582882740704,-0.6526554145645834,-0.6332405542699512,-0.689728863035183,0.005727383637667712,-0.2148690900555937,-0.2219673080953174,0.10998503906942236,0.0003821974954885106,0.16194660006556705
713,-0.9986299204309634,-0.8878150689861863,-0.916210578797754,-0.8619429442816876,-1.057673446201396,-1.178917018575369,-1.1518068838968334,-0.9594952892236988,-0.9596979111698765,-0.8290640195804815
714,-0.29938649077718965,-1.311102446945072,-1.3406656155894565,-1.2533385834782886,0.318492333590334,-0.3691167586187579,-0.25773036870306787,0.4664784818337963,0.384414240961634,0.4922834732809171
715,-0.7279550444359542,-0.4174957601429805,-0.44459387125141714,-0.39226817724576646,-0.5572495262771303,-0.7161740128858771,-0.6868870959960757,-0.6030018464593248,-0.7676818894368042,-0.6638955829728073
716,-0.9760736807647126,-1.8598083072621454,-1.8122823231357932,-1.8795716061928502,-1.9959682960593934,-1.8730315271096072,-1.9743572778750977,-2.02897561751682,-2.1117940415683147,-2.150411512441881
717,-1.303139155925349,-1.3267797572398456,-1.324945058671245,-1.3159618857497446,-0.6823555062581967,-0.7932978471674589,-0.7941762778193272,-0.7812485678415118,-0.7676818894368042,-0.8290640195804815
718,0.1517383025478258,1.4637814752298426,1.4261524020157197,1.5020867164657825,1.1316812034672643,0.7106169213233907,0.8151614495294507,0.6447252032159826,0.5764302626947071,0.6574519098885914
719,0.8509817322016,1.0718487178605045,1.1274618205697056,1.016756123861997,0.318492333590334,0.6720550041825998,0.6363461464906975,0.28823176045160936,0.384414240961634,0.32711503667324204
720,0.5803068562065905,0.6015294090172987,0.6401245561051584,0.547081356826076,-0.369590556305531,0.5178073356194356,0.35024166162869236,-0.06826168231276462,0.0003821974954885106,-0.16839027314978222
