PCTPOV017_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Heart disease_Lower 95% CI,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_prevalence
26.9,50.5,48.1,52.7,10.9,14.5,17.0,4.2,3.8,4.5,15.8
8.1,43.6,41.1,45.9,6.7,9.6,11.5,3.0,2.8,3.2,10.6
21.5,45.3,43.2,47.2,7.6,11.0,12.8,3.3,3.1,3.6,11.9
34.1,51.6,49.7,53.5,8.3,15.8,18.0,4.3,4.0,4.6,17.0
20.0,50.2,48.1,52.3,7.9,11.9,13.7,3.4,3.1,3.6,12.8
25.1,50.0,48.3,51.8,7.7,12.6,14.4,3.3,3.1,3.5,13.5
35.9,48.2,46.8,49.7,9.6,14.7,16.2,4.1,3.8,4.3,15.5
8.0,33.8,31.7,35.9,5.9,7.9,9.6,2.7,2.5,2.9,8.7
19.6,49.0,46.7,51.0,7.9,10.8,12.6,3.3,3.0,3.5,11.7
15.5,47.3,44.9,49.5,7.2,11.4,13.5,3.1,2.9,3.3,12.4
10.5,40.7,38.5,42.9,6.9,9.0,10.9,3.0,2.7,3.2,9.9
13.4,46.3,43.7,49.0,7.1,9.8,11.8,3.2,2.9,3.5,10.8
39.2,54.7,52.8,56.3,8.9,18.3,20.3,4.4,4.2,4.7,19.4
13.3,45.8,43.5,48.0,7.1,9.8,11.8,3.2,3.0,3.5,10.8
16.3,44.3,42.0,46.5,7.1,10.5,12.4,3.2,3.0,3.5,11.5
16.4,52.2,49.9,54.3,7.8,11.9,13.8,3.0,2.8,3.2,12.8
29.1,53.0,51.4,54.5,6.6,13.2,14.8,3.4,3.3,3.6,14.0
12.2,44.6,42.1,47.1,7.0,10.3,12.3,3.0,2.8,3.3,11.3
10.2,33.0,31.1,35.0,5.2,7.8,9.4,2.6,2.4,2.8,8.6
12.3,40.3,37.8,42.6,6.9,9.2,11.1,3.1,2.8,3.3,10.1
23.3,47.1,44.9,49.1,7.9,12.9,15.1,3.5,3.2,3.7,14.0
8.0,41.6,39.0,44.0,7.1,10.7,12.9,3.2,3.0,3.5,11.8
10.4,47.5,45.3,49.6,7.3,11.2,13.1,3.0,2.8,3.3,12.2
24.7,53.7,51.7,55.6,7.7,13.5,15.7,3.4,3.1,3.6,14.6
19.2,53.4,51.6,54.9,7.3,12.6,14.3,3.2,3.1,3.4,13.4
44.2,56.7,55.0,58.4,10.0,17.0,19.0,4.5,4.3,4.8,18.0
17.1,41.9,39.3,44.4,7.8,9.8,12.0,3.4,3.1,3.7,10.9
11.9,30.1,28.0,32.1,4.4,6.3,7.5,2.2,2.1,2.4,6.9
12.6,42.7,40.3,44.9,7.6,10.7,12.7,3.1,2.8,3.4,11.8
18.5,47.2,45.0,49.1,8.0,13.2,15.2,3.6,3.4,3.9,14.2
16.3,45.2,43.3,47.2,7.3,10.4,12.3,3.3,3.0,3.5,11.3
22.0,50.2,47.6,52.5,9.0,13.0,15.3,3.6,3.3,3.9,14.2
30.4,40.2,38.4,41.9,7.5,11.2,12.6,3.5,3.3,3.7,11.9
8.3,34.5,32.3,36.7,4.3,6.7,7.9,2.1,2.0,2.3,7.3
41.1,55.0,52.4,57.4,10.6,15.1,17.8,4.1,3.8,4.5,16.5
26.8,51.6,49.1,53.8,9.7,12.8,15.0,3.9,3.6,4.2,13.9
9.8,44.2,41.8,46.3,6.2,9.5,11.3,2.8,2.6,3.0,10.4
16.8,46.2,43.5,48.6,8.0,10.7,12.9,3.4,3.2,3.7,11.8
17.9,41.7,39.2,43.6,9.8,12.8,15.4,4.1,3.8,4.5,14.2
26.6,41.4,39.4,43.0,7.8,12.0,13.6,3.9,3.7,4.1,12.9
9.7,37.5,35.4,39.3,6.5,9.3,11.1,3.1,2.8,3.3,10.3
11.7,37.0,35.2,38.9,6.5,9.9,11.8,3.3,3.1,3.6,10.8
23.4,48.6,45.9,51.1,8.3,11.4,13.7,3.6,3.3,3.9,12.6
23.8,45.3,43.5,47.1,8.2,11.6,13.5,3.6,3.4,3.9,12.5
26.9,41.2,38.6,43.8,8.0,10.7,13.0,3.6,3.3,3.9,11.8
17.8,44.4,42.0,46.6,7.3,11.1,13.1,3.2,3.0,3.5,12.1
35.0,52.0,49.8,54.1,8.1,15.1,17.1,3.9,3.7,4.2,16.1
13.5,48.6,46.5,50.4,6.6,13.1,14.5,3.2,3.0,3.4,13.8
39.3,50.9,49.4,52.5,8.3,14.3,15.9,3.7,3.5,3.9,15.1
12.2,41.3,39.0,43.7,5.8,9.0,10.7,2.7,2.5,2.9,9.9
22.9,47.5,45.7,49.2,7.3,11.5,13.0,3.2,3.0,3.4,12.2
15.4,46.7,44.0,49.3,7.4,10.2,12.3,3.2,3.0,3.5,11.2
24.2,58.7,56.5,60.8,9.1,14.1,16.2,3.5,3.3,3.8,15.2
30.2,45.8,43.2,48.4,8.8,12.9,15.7,3.8,3.5,4.2,14.3
12.7,41.5,38.9,43.9,6.6,9.2,11.1,3.0,2.8,3.2,10.2
11.9,41.2,39.0,43.2,7.0,9.9,11.8,3.2,2.9,3.4,10.9
23.0,48.2,45.9,50.3,8.5,12.3,14.5,3.5,3.3,3.8,13.4
20.2,42.0,39.7,44.4,7.7,10.3,12.6,3.3,3.1,3.7,11.4
8.9,39.0,36.7,41.3,6.4,8.3,10.1,2.9,2.7,3.1,9.2
16.3,46.6,44.2,49.0,7.6,10.5,12.7,3.4,3.2,3.7,11.6
13.8,45.4,43.3,47.2,7.2,11.1,12.8,3.2,3.0,3.5,12.0
15.9,47.2,45.2,49.3,8.4,13.5,15.4,3.6,3.4,3.9,14.4
11.9,34.4,33.3,35.5,6.3,10.4,11.6,3.1,3.0,3.3,11.0
19.2,46.7,44.6,48.8,7.9,11.8,13.6,3.4,3.2,3.6,12.7
22.4,44.7,42.8,46.5,8.3,13.0,14.8,3.7,3.5,4.0,13.9
11.5,44.7,42.1,47.1,6.3,9.4,11.4,2.8,2.6,3.0,10.4
13.2,31.7,30.0,33.1,4.6,7.0,8.1,2.5,2.4,2.7,7.5
12.0,38.0,35.8,40.1,6.2,9.0,10.7,2.9,2.7,3.2,9.9
20.3,51.3,48.7,53.7,9.0,13.1,15.4,3.6,3.3,3.9,14.3
11.0,44.5,42.4,46.6,8.0,11.1,13.2,3.3,3.1,3.6,12.1
20.1,38.8,37.2,40.5,5.5,9.0,10.3,2.7,2.6,2.9,9.6
9.5,47.0,44.5,49.3,6.4,9.1,11.0,2.9,2.7,3.1,10.0
27.2,44.0,41.8,46.2,9.1,13.0,15.1,4.2,3.9,4.5,14.1
13.3,46.3,43.8,48.7,7.4,10.4,12.5,3.3,3.0,3.6,11.4
27.6,48.2,45.8,50.3,9.4,13.6,16.0,3.7,3.4,4.1,14.9
20.4,51.6,49.6,53.8,8.9,12.9,15.1,3.5,3.2,3.8,13.9
12.7,46.4,44.5,48.2,6.6,11.0,12.7,3.2,3.0,3.4,11.9
19.9,47.4,45.0,49.8,8.3,12.6,15.1,3.7,3.5,4.0,13.9
21.8,48.7,46.4,51.0,8.9,12.0,14.1,3.6,3.3,3.9,13.0
26.0,52.1,49.8,54.4,8.7,13.0,15.1,3.4,3.2,3.7,14.1
19.2,39.2,37.1,41.4,5.7,7.9,9.4,2.6,2.5,2.8,8.6
15.0,53.1,51.0,55.2,7.6,12.0,14.0,3.2,3.0,3.4,13.0
26.1,50.9,48.8,52.7,9.0,14.6,16.7,4.0,3.7,4.2,15.6
5.4,34.4,32.2,36.8,4.2,6.5,7.8,2.2,2.0,2.3,7.1
20.7,42.1,40.6,43.5,5.9,10.9,12.3,3.1,2.9,3.2,11.6
18.1,49.3,46.6,51.6,7.9,11.4,13.6,3.4,3.2,3.7,12.5
15.2,48.4,45.7,51.0,9.0,13.5,16.1,4.0,3.7,4.3,14.8
33.6,54.0,52.2,55.9,11.2,16.1,18.3,4.4,4.1,4.7,17.2
18.0,41.5,39.0,43.9,8.6,12.3,14.5,4.0,3.8,4.4,13.3
16.8,48.5,46.1,50.9,8.2,11.9,14.2,3.5,3.2,3.8,13.1
23.7,41.6,40.3,43.0,6.0,11.4,12.6,3.1,2.9,3.2,12.0
24.2,43.7,41.2,46.1,7.3,10.2,12.2,3.2,3.0,3.5,11.2
23.1,44.3,41.8,46.6,7.8,11.9,14.2,3.5,3.2,3.8,13.1
25.9,44.0,42.1,45.8,8.8,13.3,15.4,4.0,3.8,4.4,14.3
19.9,53.4,51.6,55.2,7.6,13.6,15.6,3.4,3.2,3.7,14.6
25.0,40.2,38.3,42.1,8.3,12.0,14.0,3.7,3.5,4.0,13.0
21.3,55.0,52.4,57.5,10.5,14.7,17.3,3.7,3.4,4.0,16.0
18.2,38.4,36.2,40.5,8.2,11.9,14.0,3.6,3.4,3.9,12.9
25.3,53.7,51.3,56.1,9.0,14.1,16.6,3.7,3.4,4.0,15.3
21.7,55.2,52.7,57.5,9.3,14.1,16.4,3.5,3.3,3.8,15.2
43.0,52.7,51.0,54.3,9.8,17.9,19.8,4.6,4.3,4.9,18.8
22.9,42.1,39.6,44.7,6.2,8.8,10.5,2.9,2.7,3.1,9.6
10.8,42.1,40.0,44.3,6.3,8.9,10.5,2.8,2.6,3.1,9.7
3.7,32.2,30.0,34.4,4.2,6.5,8.0,2.2,2.0,2.4,7.2
21.1,46.6,44.5,48.6,8.5,11.4,13.6,3.6,3.3,3.9,12.5
24.3,53.3,51.4,55.2,8.5,13.7,15.9,3.6,3.3,3.8,14.9
12.6,56.7,54.3,58.8,7.7,11.8,13.8,2.9,2.7,3.1,12.8
26.0,52.6,50.2,54.9,8.4,12.0,14.1,3.6,3.4,3.9,13.0
27.5,53.6,51.8,55.5,9.3,14.9,17.0,4.1,3.9,4.4,15.9
22.8,46.4,44.2,48.4,9.0,13.3,15.5,3.9,3.6,4.2,14.4
26.8,48.4,46.8,50.0,8.2,14.5,16.3,4.0,3.8,4.2,15.4
13.8,38.6,36.3,41.0,6.0,8.5,10.0,2.7,2.5,2.9,9.3
8.7,48.0,45.8,50.2,6.2,10.3,12.3,2.6,2.4,2.8,11.3
11.5,46.8,44.4,49.4,7.4,10.2,12.3,3.4,3.1,3.7,11.3
25.2,49.2,46.9,51.3,9.4,12.7,14.9,3.8,3.5,4.1,13.8
22.9,47.8,45.5,50.2,9.1,13.5,15.8,4.0,3.7,4.3,14.6
18.0,41.8,39.8,43.9,7.3,9.8,11.6,3.3,3.1,3.6,10.7
15.5,40.7,38.8,42.6,6.2,9.6,11.4,2.8,2.6,3.1,10.4
7.6,36.1,34.3,37.8,5.7,10.4,12.0,2.9,2.7,3.1,11.2
41.2,49.9,48.1,51.6,8.6,16.2,18.1,4.1,3.9,4.4,17.2
10.9,34.6,32.3,37.0,4.9,8.3,10.1,2.5,2.3,2.7,9.2
24.1,51.8,49.2,54.0,10.1,13.1,15.5,4.0,3.7,4.3,14.4
10.5,37.1,34.9,39.2,4.9,7.6,9.0,2.4,2.3,2.6,8.2
20.1,40.2,38.0,42.4,7.0,10.3,12.1,3.2,3.0,3.5,11.2
22.3,48.0,46.0,49.6,8.8,13.8,15.7,3.9,3.7,4.2,14.7
22.7,46.2,43.7,48.4,8.9,12.3,14.8,3.8,3.5,4.1,13.5
46.2,55.8,54.3,57.5,9.3,17.4,19.3,4.4,4.1,4.6,18.4
23.8,48.7,47.0,50.4,8.5,14.7,16.6,3.9,3.7,4.2,15.7
16.6,50.8,48.3,53.2,8.1,11.3,13.4,3.5,3.3,3.8,12.3
19.0,44.5,42.1,46.6,8.6,11.9,14.1,3.8,3.5,4.1,13.0
36.7,48.8,46.9,50.6,9.2,16.4,18.4,4.2,4.0,4.5,17.4
17.3,44.1,41.8,46.4,7.9,11.2,13.2,3.4,3.1,3.6,12.2
24.6,50.4,47.8,52.6,10.3,14.6,17.2,4.2,3.9,4.6,15.9
39.1,56.3,54.3,58.0,8.6,17.3,19.4,4.5,4.2,4.8,18.4
16.6,42.0,39.8,44.4,8.7,12.3,14.7,3.7,3.5,4.1,13.5
37.6,56.1,53.8,58.2,9.5,17.1,19.4,4.4,4.1,4.7,18.2
16.3,36.5,33.8,39.2,4.7,6.8,8.0,2.3,2.1,2.4,7.4
16.0,47.1,45.0,48.9,6.3,9.6,11.4,2.9,2.7,3.2,10.5
22.2,50.2,47.8,52.5,8.1,12.8,15.0,3.6,3.3,3.8,13.9
16.8,36.2,34.0,38.3,6.8,9.6,11.5,3.1,2.8,3.3,10.6
31.6,56.8,55.2,58.3,10.4,18.5,20.6,4.5,4.3,4.8,19.6
13.3,47.9,45.4,50.3,7.7,10.8,12.9,3.4,3.1,3.7,11.9
22.0,48.4,46.1,50.6,7.8,12.5,14.5,3.3,3.1,3.6,13.5
12.6,34.8,33.0,36.4,5.0,8.0,9.3,2.4,2.3,2.6,8.7
17.5,48.7,46.6,50.7,8.0,12.3,14.3,3.4,3.1,3.6,13.3
17.8,50.3,48.3,52.0,9.9,14.2,16.4,4.0,3.8,4.3,15.4
24.5,54.3,52.3,56.1,8.5,14.9,16.9,3.8,3.5,4.0,15.9
13.2,27.8,26.1,29.6,5.2,7.5,9.0,2.5,2.4,2.7,8.2
29.7,57.4,55.3,59.5,11.0,15.7,18.1,3.9,3.6,4.2,16.9
33.9,47.1,45.3,48.8,8.0,13.5,15.4,3.7,3.5,4.0,14.4
42.8,52.2,50.3,54.0,8.6,17.6,19.6,4.5,4.2,4.8,18.6
7.8,33.0,30.7,35.0,5.1,8.2,10.0,2.6,2.4,2.8,9.2
6.1,35.7,33.8,37.7,4.2,7.0,8.4,2.2,2.0,2.4,7.7
13.2,48.3,45.6,50.7,7.9,12.0,14.4,3.2,3.0,3.5,13.2
41.1,58.9,56.9,60.8,10.1,18.0,20.2,4.6,4.3,4.9,19.1
19.4,48.0,45.6,50.1,7.5,10.7,12.7,3.3,3.1,3.6,11.7
19.9,45.7,43.9,47.5,6.2,11.2,12.5,2.9,2.8,3.1,11.9
18.5,48.2,45.9,50.7,8.1,11.4,13.5,3.2,3.0,3.5,12.5
37.0,43.8,41.5,45.9,8.5,13.0,15.2,4.2,3.9,4.5,14.1
26.2,49.5,47.1,51.7,7.9,12.2,14.4,3.4,3.2,3.7,13.2
7.9,38.0,36.1,40.0,4.6,7.8,9.3,2.4,2.2,2.6,8.5
18.1,50.0,47.5,52.1,7.5,11.8,13.8,3.3,3.1,3.6,12.8
28.4,57.7,56.0,59.4,10.7,15.5,17.3,4.2,3.9,4.5,16.4
17.4,41.6,39.4,43.7,7.3,10.8,12.8,3.3,3.1,3.6,11.8
16.5,48.7,46.8,50.5,6.8,12.4,14.3,3.1,2.9,3.4,13.3
28.6,49.1,47.2,50.7,9.1,14.8,16.9,4.0,3.8,4.3,15.9
25.1,43.2,41.6,45.0,6.7,11.8,13.5,3.2,3.0,3.5,12.6
20.9,50.0,47.7,52.1,7.2,10.6,12.4,3.2,3.0,3.5,11.5
20.6,46.2,44.2,48.2,8.2,12.3,14.3,3.5,3.2,3.8,13.3
13.3,47.9,45.4,50.2,8.1,11.4,13.6,3.3,3.1,3.6,12.5
33.4,55.0,53.6,56.4,9.7,16.1,17.9,4.5,4.2,4.7,17.0
19.0,50.0,48.3,51.8,7.3,11.9,13.7,3.3,3.1,3.6,12.8
29.2,53.4,51.9,54.9,9.2,15.4,17.1,4.1,3.8,4.3,16.2
16.8,49.0,46.6,51.5,9.3,12.4,14.9,3.8,3.5,4.2,13.6
11.8,43.5,41.4,45.7,7.2,9.9,11.9,3.3,3.0,3.5,10.9
26.9,53.9,51.9,56.0,9.6,14.2,16.3,3.7,3.4,4.0,15.2
16.2,46.1,44.1,47.9,7.3,11.8,13.6,3.3,3.1,3.5,12.7
28.1,47.5,44.9,50.0,7.9,11.6,13.9,3.5,3.3,3.8,12.7
9.5,40.5,38.0,42.7,6.8,10.9,12.8,2.9,2.7,3.2,11.9
16.3,48.1,45.7,50.7,8.3,11.1,13.3,3.6,3.3,3.9,12.2
20.3,44.7,42.5,46.8,8.5,11.3,13.3,3.4,3.1,3.7,12.3
20.3,48.3,45.8,50.7,7.6,10.4,12.5,3.3,3.0,3.6,11.5
11.9,43.2,40.9,45.5,6.5,9.3,11.2,3.0,2.8,3.3,10.3
23.4,48.8,46.5,50.7,9.4,13.6,15.6,3.8,3.6,4.1,14.6
16.0,44.2,42.3,46.1,6.7,11.6,13.5,3.1,2.9,3.4,12.6
25.9,50.7,48.6,52.7,8.5,13.4,15.3,3.7,3.4,3.9,14.3
23.6,47.2,44.6,49.7,7.8,10.7,13.0,3.4,3.2,3.7,11.8
11.7,42.3,40.1,44.4,7.0,9.4,11.3,3.2,2.9,3.5,10.3
25.0,49.1,46.7,51.2,9.3,13.8,16.2,3.9,3.6,4.2,15.0
20.9,49.2,46.7,51.4,8.1,11.4,13.4,3.5,3.2,3.8,12.5
21.5,44.1,42.2,45.9,6.6,11.9,13.6,3.1,2.9,3.3,12.7
49.1,63.3,61.1,65.3,11.2,21.6,24.5,5.5,5.1,6.0,23.1
11.0,33.6,31.6,35.4,6.1,8.3,9.9,2.9,2.7,3.1,9.1
23.8,47.8,45.8,49.7,7.4,13.3,15.1,3.4,3.2,3.7,14.2
20.8,40.0,38.3,41.8,4.8,8.0,8.8,2.3,2.2,2.4,8.4
18.2,48.2,46.5,49.7,5.7,11.6,13.1,2.9,2.7,3.0,12.4
27.4,47.3,45.3,49.3,7.8,12.5,14.3,3.5,3.2,3.7,13.5
33.5,50.4,49.0,51.8,9.0,15.9,17.4,4.0,3.8,4.2,16.6
43.3,53.2,51.3,55.0,9.9,16.4,18.4,4.6,4.3,4.8,17.5
15.7,39.1,36.6,41.7,7.2,9.4,11.5,3.2,2.9,3.5,10.4
20.4,46.6,44.1,49.1,7.6,11.8,14.1,3.2,3.0,3.5,12.9
25.7,51.1,49.0,53.0,8.6,12.5,14.5,3.6,3.3,3.9,13.5
19.6,36.8,34.7,38.9,7.1,9.2,10.9,3.3,3.1,3.6,10.0
22.1,50.9,49.0,52.6,7.3,11.9,13.8,3.2,3.0,3.5,12.8
22.8,50.9,48.8,52.9,6.6,10.5,12.2,3.2,3.0,3.4,11.3
3.1,32.2,30.4,34.1,4.6,7.2,8.5,2.4,2.3,2.6,7.8
29.0,49.5,47.8,51.2,8.0,12.9,14.6,3.6,3.4,3.9,13.7
10.8,47.7,45.1,50.1,6.7,10.2,12.3,3.0,2.8,3.3,11.2
17.9,39.5,37.0,41.8,7.7,10.2,12.2,3.4,3.1,3.7,11.3
15.2,43.4,41.5,45.3,6.1,10.5,11.9,2.8,2.6,2.9,11.2
13.5,30.8,28.8,32.7,4.4,6.8,8.0,2.3,2.1,2.4,7.4
15.2,42.8,40.8,44.7,6.3,10.2,11.8,2.9,2.7,3.1,11.0
16.7,43.5,41.3,45.7,6.9,10.4,12.5,3.1,2.9,3.4,11.5
12.1,46.7,44.2,48.9,7.7,10.9,13.0,3.4,3.1,3.7,12.0
13.0,41.4,39.5,43.2,5.8,9.0,10.5,2.7,2.5,2.9,9.8
26.4,55.3,52.9,57.5,11.0,15.8,18.2,4.3,3.9,4.6,17.0
21.9,48.8,47.0,50.4,8.0,12.5,14.3,3.4,3.2,3.6,13.4
50.3,59.6,57.6,61.4,9.4,18.7,21.2,4.8,4.5,5.1,20.0
15.6,35.7,33.2,38.0,6.9,8.9,10.9,3.4,3.1,3.8,9.9
13.8,44.0,41.3,46.7,6.9,10.0,12.2,3.2,2.9,3.5,11.1
21.1,46.1,44.1,48.1,8.0,11.4,13.4,3.5,3.3,3.8,12.3
16.2,48.1,45.5,50.5,7.5,10.5,12.5,3.3,3.0,3.6,11.6
18.1,46.6,44.1,49.0,9.3,12.0,14.4,3.9,3.6,4.3,13.2
16.0,44.9,43.2,46.6,4.3,8.5,9.3,2.2,2.1,2.3,8.9
16.9,44.3,42.3,46.4,7.5,12.2,14.2,3.4,3.1,3.6,13.2
6.4,33.6,31.8,35.4,3.8,7.6,8.9,2.2,2.1,2.3,8.2
26.7,52.3,50.0,54.4,9.2,13.7,15.9,3.6,3.3,3.9,14.8
31.5,59.0,56.7,61.1,10.7,15.8,18.5,4.0,3.6,4.3,17.2
17.2,37.5,35.0,39.9,6.5,10.2,12.4,3.2,3.0,3.5,11.3
10.1,41.2,39.4,42.8,5.9,9.0,10.3,2.7,2.6,2.9,9.7
16.0,50.7,48.3,53.0,7.9,11.6,13.7,3.5,3.2,3.8,12.6
17.9,48.3,46.3,50.4,5.6,10.9,12.3,2.8,2.6,3.0,11.6
26.8,54.4,52.1,56.6,9.5,14.1,16.5,3.6,3.3,3.9,15.3
22.4,49.1,47.2,51.0,7.1,11.4,13.3,3.1,2.8,3.3,12.4
30.1,57.2,55.4,59.0,10.2,17.5,19.6,4.3,4.0,4.6,18.6
24.7,52.6,50.6,54.6,8.7,14.0,16.2,3.7,3.4,4.0,15.1
38.7,58.2,56.4,60.0,9.8,16.9,18.8,4.4,4.1,4.7,17.8
20.5,47.9,45.7,50.1,7.6,11.3,13.2,3.2,3.0,3.5,12.2
28.6,37.0,35.4,38.6,8.3,14.3,16.2,4.3,4.1,4.6,15.2
4.5,35.4,33.5,37.4,4.7,7.8,9.3,2.4,2.2,2.6,8.5
18.9,45.9,43.6,48.1,7.4,11.2,13.2,3.4,3.1,3.6,12.2
27.9,52.5,50.2,54.6,8.6,12.6,14.8,3.5,3.3,3.8,13.7
20.3,47.7,45.4,50.1,10.4,15.6,18.3,4.9,4.6,5.3,16.9
23.9,46.3,43.8,48.7,9.1,12.4,14.9,3.8,3.4,4.1,13.7
5.1,44.5,42.1,46.8,5.4,8.6,10.3,2.4,2.2,2.6,9.5
10.3,36.5,34.9,38.0,5.6,9.7,11.2,2.9,2.7,3.1,10.4
14.4,45.8,43.3,48.2,6.7,10.7,13.0,2.8,2.6,3.1,11.8
22.6,38.2,36.4,39.9,7.1,13.1,15.1,3.7,3.5,4.0,14.2
27.8,52.2,50.3,54.0,8.5,15.0,16.7,3.8,3.6,4.0,15.9
16.3,45.8,42.9,48.5,7.8,10.6,13.1,3.4,3.2,3.8,11.9
18.9,41.6,39.3,43.8,7.5,10.6,12.8,3.4,3.2,3.7,11.7
31.6,50.5,47.8,53.1,11.6,14.6,17.3,4.5,4.1,4.9,16.0
23.2,50.0,47.8,52.0,8.2,12.3,14.2,3.5,3.2,3.7,13.2
18.0,45.6,43.8,47.3,7.5,11.2,12.7,3.2,3.0,3.4,11.9
38.5,50.8,48.7,52.5,12.2,16.0,18.6,4.9,4.5,5.3,17.3
17.1,45.3,42.8,47.6,8.3,11.9,14.3,3.6,3.3,3.9,13.1
27.1,54.5,52.8,56.0,9.0,16.0,17.8,4.1,3.9,4.4,16.9
28.1,49.2,47.5,50.9,9.0,15.1,17.0,4.0,3.8,4.3,16.1
7.4,41.0,38.6,43.1,7.2,10.8,12.6,3.2,2.9,3.4,11.7
12.2,47.3,45.3,49.0,7.1,10.7,12.5,3.0,2.8,3.3,11.6
21.5,48.4,46.1,50.7,9.1,11.9,13.9,3.5,3.3,3.8,13.0
19.5,56.8,54.5,59.0,9.8,14.1,16.5,3.7,3.4,3.9,15.3
10.4,43.4,41.2,45.5,5.4,8.2,9.6,2.5,2.3,2.6,8.9
9.3,39.8,37.7,42.1,6.8,10.4,12.4,3.1,2.9,3.4,11.4
27.7,50.4,48.3,52.5,8.0,14.0,15.8,3.7,3.5,4.0,14.9
24.1,53.7,51.8,55.6,10.5,14.5,16.5,4.1,3.8,4.4,15.5
27.1,47.9,45.6,50.3,8.7,11.9,14.2,3.7,3.4,4.0,13.0
26.3,52.3,50.4,54.0,7.3,12.7,14.2,3.1,2.9,3.2,13.4
34.2,55.1,53.3,56.8,10.1,16.9,19.0,4.3,4.1,4.6,17.9
20.2,49.5,47.4,51.5,8.0,12.6,14.5,3.4,3.2,3.7,13.5
15.9,42.6,40.7,44.4,6.5,9.9,11.5,3.0,2.8,3.3,10.7
22.5,51.0,48.8,53.3,8.1,12.9,15.1,3.6,3.3,3.8,14.0
11.2,49.9,47.1,52.3,8.5,11.5,14.1,3.6,3.3,4.0,12.8
15.5,37.4,35.7,39.0,5.5,9.6,11.0,2.9,2.7,3.1,10.3
18.6,44.5,42.4,46.4,8.2,11.2,13.3,3.4,3.2,3.7,12.2
25.6,54.5,52.5,56.3,10.1,14.5,16.6,4.0,3.7,4.3,15.6
19.0,47.3,44.9,49.4,8.0,11.7,13.7,3.5,3.2,3.8,12.7
21.1,47.6,45.7,49.4,8.1,12.8,14.5,3.6,3.4,3.9,13.7
13.4,38.0,35.4,40.4,6.5,10.0,12.1,2.9,2.7,3.2,11.0
11.7,42.5,40.7,44.4,5.2,9.8,11.1,2.6,2.5,2.8,10.4
8.6,38.9,36.8,40.9,6.0,9.4,11.4,2.8,2.6,3.1,10.4
19.7,44.0,42.7,45.3,6.5,11.2,12.5,3.1,3.0,3.3,11.9
10.6,47.7,45.7,49.7,5.6,10.0,11.6,2.6,2.5,2.8,10.8
20.2,49.3,46.8,51.7,8.5,12.5,14.7,3.5,3.3,3.8,13.6
12.8,39.5,37.4,41.5,6.4,10.2,12.1,3.0,2.7,3.2,11.2
4.7,39.4,37.2,41.6,4.8,7.3,8.8,2.4,2.2,2.5,8.1
36.0,55.3,53.4,57.1,9.7,17.0,19.1,4.4,4.1,4.7,18.1
18.5,35.5,33.2,37.6,5.7,8.8,10.4,3.0,2.8,3.2,9.6
22.1,44.6,42.5,46.7,7.7,12.7,14.7,3.4,3.1,3.7,13.7
22.6,52.2,49.9,54.3,8.0,11.8,14.1,3.4,3.1,3.7,13.0
17.1,46.2,44.1,48.4,7.3,10.9,12.8,3.3,3.1,3.6,11.9
20.5,41.1,39.3,43.0,6.3,10.5,12.3,3.1,2.9,3.3,11.4
12.9,40.7,38.4,43.0,6.3,9.5,11.5,2.8,2.6,3.1,10.5
16.0,44.8,42.9,46.6,6.9,10.8,12.6,3.0,2.8,3.2,11.7
8.1,42.9,40.3,45.4,6.2,9.6,11.4,2.8,2.6,3.0,10.5
51.6,57.0,55.2,58.7,9.5,20.0,22.3,4.9,4.5,5.2,21.2
25.4,45.2,43.7,46.7,7.1,11.4,12.9,3.1,2.9,3.3,12.2
33.1,60.1,57.5,62.4,11.5,16.1,19.0,4.2,3.8,4.6,17.6
26.4,44.0,42.0,45.8,7.0,11.0,12.5,3.1,2.9,3.2,11.8
17.3,42.5,40.5,44.3,6.3,10.9,12.6,2.8,2.6,3.0,11.8
20.3,46.5,44.2,48.8,8.1,11.7,13.8,3.4,3.1,3.7,12.7
19.7,35.0,33.0,37.0,6.2,8.3,9.9,3.1,2.9,3.4,9.1
11.6,46.9,44.5,49.1,6.9,9.9,11.8,3.2,3.0,3.5,10.9
16.7,46.8,44.2,49.1,8.8,12.4,14.9,3.7,3.4,4.1,13.7
19.6,46.8,44.1,49.3,8.4,12.3,14.8,3.6,3.3,4.0,13.5
20.4,41.5,39.9,43.1,7.2,12.1,13.6,3.6,3.4,3.8,12.8
15.4,47.5,44.7,49.7,8.3,11.0,13.2,3.7,3.3,4.0,12.1
9.1,36.9,34.8,39.0,5.6,9.1,10.8,2.7,2.6,2.9,9.9
35.9,58.4,56.7,59.9,9.0,15.6,17.3,3.9,3.7,4.1,16.4
13.2,36.0,34.4,37.7,4.7,8.3,9.6,2.6,2.4,2.7,8.9
21.3,44.6,42.2,47.3,7.8,10.2,12.4,3.5,3.2,3.8,11.3
14.8,41.1,39.2,43.0,6.7,10.4,12.2,3.2,3.0,3.5,11.2
7.4,39.5,37.3,41.5,5.9,8.5,10.4,2.7,2.5,2.9,9.4
11.8,50.6,48.3,52.8,7.2,10.0,12.0,3.2,3.0,3.5,11.0
36.5,53.9,52.3,55.4,8.0,16.6,18.6,4.4,4.1,4.6,17.6
