PCTPOV017_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Heart disease_Lower 95% CI,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_prevalence
10.8,32.5,30.4,34.5,5.1,7.1,8.5,2.7,2.5,2.9,7.8
7.5,39.2,36.8,41.5,6.3,9.6,11.5,2.7,2.5,2.9,10.5
24.0,49.8,48.0,51.6,9.2,15.2,17.1,4.0,3.7,4.3,16.1
27.7,51.9,50.0,53.6,8.9,15.2,17.2,4.0,3.7,4.2,16.2
19.6,48.4,45.9,50.9,8.4,11.6,13.9,3.4,3.2,3.7,12.8
19.2,41.2,39.3,42.9,6.6,10.4,12.3,3.1,2.8,3.3,11.4
16.5,43.1,40.6,45.3,6.7,10.6,12.6,3.0,2.8,3.2,11.6
9.8,37.8,35.8,39.6,5.5,8.0,9.5,2.5,2.3,2.7,8.8
17.7,52.2,50.2,54.0,7.3,12.5,14.3,3.0,2.8,3.2,13.4
11.9,38.0,35.8,40.1,6.3,8.8,10.5,3.0,2.7,3.2,9.7
20.5,49.6,47.5,51.8,8.2,12.7,15.0,3.7,3.4,4.0,13.8
40.4,56.4,54.7,58.1,9.9,18.5,20.7,4.7,4.4,4.9,19.6
14.0,46.7,44.8,48.7,5.9,11.3,12.6,2.8,2.7,3.0,11.9
25.9,54.0,52.0,55.8,9.6,13.7,15.6,3.8,3.6,4.1,14.7
26.5,53.6,51.6,55.5,8.3,13.6,15.7,3.6,3.3,3.8,14.7
16.4,46.8,44.9,48.7,7.4,11.0,12.8,3.3,3.1,3.6,11.9
17.9,38.0,36.0,40.0,6.5,9.5,11.3,3.2,2.9,3.5,10.4
25.9,51.8,49.9,53.5,7.8,12.9,14.7,3.4,3.2,3.7,13.8
27.3,48.4,46.5,50.3,5.6,14.3,16.4,3.4,3.2,3.6,15.3
30.5,51.8,49.5,53.8,10.5,15.5,18.0,4.0,3.7,4.3,16.8
13.7,30.9,29.1,32.7,4.3,6.8,8.0,2.2,2.1,2.4,7.4
17.7,44.5,42.7,46.3,6.5,11.6,13.4,3.1,2.9,3.3,12.5
16.0,51.0,49.0,53.0,7.3,11.6,13.5,2.9,2.7,3.1,12.5
23.2,42.5,40.9,44.3,5.6,11.0,12.2,3.1,2.9,3.3,11.5
28.7,50.6,48.7,52.3,9.0,15.0,16.9,3.9,3.7,4.1,16.0
16.7,35.2,33.0,37.2,6.2,8.8,10.4,3.0,2.8,3.2,9.7
10.2,36.1,34.9,37.3,5.3,10.4,11.5,2.9,2.8,3.1,11.0
28.9,44.4,41.8,46.7,8.8,11.6,13.7,3.8,3.5,4.1,12.7
32.2,54.4,52.1,56.6,10.4,15.1,17.5,3.9,3.6,4.2,16.3
17.3,31.8,30.4,33.1,5.2,7.9,9.0,2.9,2.7,3.0,8.5
12.4,40.8,38.1,43.2,5.9,8.8,10.9,2.8,2.6,3.1,9.9
18.1,37.4,35.3,39.6,7.9,11.6,14.0,3.7,3.4,4.0,12.7
10.9,39.0,36.9,41.1,5.3,8.8,10.6,2.5,2.3,2.7,9.7
26.5,51.0,49.6,52.3,6.8,14.4,15.9,3.4,3.3,3.6,15.2
9.3,48.4,46.8,49.8,5.2,11.8,13.3,2.8,2.7,3.0,12.6
12.9,45.9,43.6,48.1,7.4,10.6,12.5,3.1,2.9,3.3,11.6
32.7,61.4,59.0,63.7,11.8,16.4,19.2,4.1,3.8,4.5,17.8
11.4,40.0,38.0,42.1,5.8,9.2,10.8,2.7,2.5,2.8,10.0
